"Month","country_name","Year","Total_imp","Pref_Trade","Eligible_Trade","Total_volume","Pref_Volume","Eligible_Volume","uk_trade_agreement","uk_agreement_name","uk_dcts_tier","uk_dcts"
1,"Bangladesh",2022,10026395,9716062,9732376,2190600,2077033,2078932,FALSE,NA,"Comprehensive",TRUE
1,"Bangladesh",2023,8452878,8343029,8349214,1904382,1868395,1872839,FALSE,NA,"Comprehensive",TRUE
1,"Bangladesh",2024,5779270,5635695,5648038,1847906,1807827,1808403,FALSE,NA,"Comprehensive",TRUE
1,"Bangladesh",2025,8288965,8110051,8111650,2713778,2657890,2658153,FALSE,NA,"Comprehensive",TRUE
1,"Bangladesh",2026,6921215,6561305,6576385,2254976,2136108,2150607,FALSE,NA,"Comprehensive",TRUE
1,"Barbados",2022,357606,50622,67683,25227,4240,5248,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
1,"Barbados",2023,242006,171366,174794,126164,99055,99307,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
1,"Barbados",2024,641689,6836,138838,67981,773,20970,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
1,"Barbados",2025,899412,0,97968,272085,0,15117,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
1,"Barbados",2026,799900,21884,352541,137793,7108,51566,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
1,"Belarus",2022,182631,0,0,35729,0,0,FALSE,NA,NA,FALSE
1,"Belize",2022,3846773,2737007,3749657,5512816,4505617,5506487,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
1,"Belize",2023,1519309,1515538,1515538,2247743,2247494,2247494,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
1,"Belize",2024,3733316,3659813,3727065,5600480,5578348,5600471,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
1,"Belize",2025,22387763,22333165,22347876,42093003,42085603,42087344,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
1,"Belize",2026,2354191,2332199,2351671,3733458,3732887,3733455,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
1,"Benin",2022,28764,0,0,22000,0,0,FALSE,NA,"Comprehensive",TRUE
1,"Benin",2023,69370,69370,69370,44000,44000,44000,FALSE,NA,"Comprehensive",TRUE
1,"Benin",2024,6396,1664,1664,1110,200,200,FALSE,NA,"Comprehensive",TRUE
1,"Benin",2025,231558,123846,123846,146022,130169,130169,FALSE,NA,"Comprehensive",TRUE
1,"Benin",2026,1006430,603936,603936,241805,147623,147623,FALSE,NA,"Comprehensive",TRUE
1,"Bermuda",2024,1641,0,0,126,0,0,FALSE,NA,NA,FALSE
1,"Bermuda",2025,2172,0,0,298,0,0,FALSE,NA,NA,FALSE
1,"Bermuda",2026,9609,0,0,812,0,0,FALSE,NA,NA,FALSE
1,"Bhutan",2026,1333,0,0,45,0,0,FALSE,NA,"Comprehensive",TRUE
1,"Bolivia",2022,2044572,61222,63772,368034,40000,40420,FALSE,NA,"Enhanced",TRUE
1,"Bolivia",2023,1069867,18929,40904,289889,10194,15018,FALSE,NA,"Enhanced",TRUE
1,"Bolivia",2024,2134524,33224,39121,527285,21000,23155,FALSE,NA,"Enhanced",TRUE
1,"Bolivia",2025,1617128,50051,61030,240244,20486,21681,FALSE,NA,"Enhanced",TRUE
1,"Bolivia",2026,305279,0,41613,55771,0,9717,FALSE,NA,"Enhanced",TRUE
1,"Bosnia & Herzegovina",2022,74201,0,0,89337,0,0,FALSE,NA,NA,FALSE
1,"Bosnia & Herzegovina",2023,112159,0,0,112063,0,0,FALSE,NA,NA,FALSE
1,"Bosnia & Herzegovina",2024,50411,0,0,26008,0,0,FALSE,NA,NA,FALSE
1,"Bosnia & Herzegovina",2025,67777,0,0,22516,0,0,FALSE,NA,NA,FALSE
1,"Bosnia & Herzegovina",2026,47164,0,0,16408,0,0,FALSE,NA,NA,FALSE
1,"Brazil",2022,73699676,0,0,66798853,0,0,FALSE,NA,NA,FALSE
1,"Brazil",2023,146377998,0,0,174957220,0,0,FALSE,NA,NA,FALSE
1,"Brazil",2024,109599704,0,0,96705494,0,0,FALSE,NA,NA,FALSE
1,"Brazil",2025,132287626,0,0,120816944,0,0,FALSE,NA,NA,FALSE
1,"Brazil",2026,140327572,0,0,77608609,0,0,FALSE,NA,NA,FALSE
1,"Burkina Faso",2022,218459,0,29362,41955,0,13125,FALSE,NA,"Comprehensive",TRUE
1,"Burkina Faso",2023,293364,0,1873,44666,0,1200,FALSE,NA,"Comprehensive",TRUE
1,"Burkina Faso",2024,594031,0,15092,83247,0,3599,FALSE,NA,"Comprehensive",TRUE
1,"Burkina Faso",2025,388269,0,27859,55756,0,7925,FALSE,NA,"Comprehensive",TRUE
1,"Burkina Faso",2026,1084621,0,7298,135727,0,1500,FALSE,NA,"Comprehensive",TRUE
1,"Burundi",2022,70102,0,0,17703,0,0,FALSE,NA,"Comprehensive",TRUE
1,"Burundi",2023,418404,0,0,78260,0,0,FALSE,NA,"Comprehensive",TRUE
1,"Burundi",2024,6981,0,0,720,0,0,FALSE,NA,"Comprehensive",TRUE
1,"Burundi",2025,23797,0,4500,3710,0,1500,FALSE,NA,"Comprehensive",TRUE
1,"Burundi",2026,1366,0,0,180,0,0,FALSE,NA,"Comprehensive",TRUE
1,"Cambodia",2022,927550,893035,924381,1128118,1090424,1127931,FALSE,NA,"Comprehensive",TRUE
1,"Cambodia",2023,1129470,1095315,1107303,1860089,1836050,1848631,FALSE,NA,"Comprehensive",TRUE
1,"Cambodia",2024,996262,989129,996262,1484563,1479202,1484563,FALSE,NA,"Comprehensive",TRUE
1,"Cambodia",2025,2823835,2615385,2724329,3842646,3702206,3817597,FALSE,NA,"Comprehensive",TRUE
1,"Cambodia",2026,2682356,2302759,2377862,4136408,4049060,4089365,FALSE,NA,"Comprehensive",TRUE
1,"Cameroon",2022,2768610,2728737,2738075,3887442,3811696,3820022,TRUE,"UK-Cameroon Economic Partnership Agreement",NA,FALSE
1,"Cameroon",2023,3101823,3062787,3065554,3802869,3763587,3765529,TRUE,"UK-Cameroon Economic Partnership Agreement",NA,FALSE
1,"Cameroon",2024,1720305,1693104,1694318,3543774,3510225,3510765,TRUE,"UK-Cameroon Economic Partnership Agreement",NA,FALSE
1,"Cameroon",2025,1388620,1387661,1387661,2841532,2841386,2841386,TRUE,"UK-Cameroon Economic Partnership Agreement",NA,FALSE
1,"Cameroon",2026,1451158,1445530,1445530,3235285,3216925,3216925,TRUE,"UK-Cameroon Economic Partnership Agreement",NA,FALSE
1,"Canada",2022,40209288,13988170,15325358,63777626,3138861,3425767,TRUE,"UK-Canada Trade Continuity Agreement; CPTPP",NA,FALSE
1,"Canada",2023,57360750,11819170,13046910,96485367,3487572,3786562,TRUE,"UK-Canada Trade Continuity Agreement; CPTPP",NA,FALSE
1,"Canada",2024,38729734,9759008,12390639,83389249,2012680,2370086,TRUE,"UK-Canada Trade Continuity Agreement; CPTPP",NA,FALSE
1,"Canada",2025,101838324,15782421,18643209,344851220,25935910,26673257,TRUE,"UK-Canada Trade Continuity Agreement; CPTPP",NA,FALSE
