"Year","country_name","Total_imp","Pref_Trade","Eligible_Trade","Total_volume","Pref_Volume","Eligible_Volume","uk_trade_agreement","uk_agreement_name","uk_dcts_tier","uk_dcts"
2023,"Thailand",967080011,0,0,365418989,0,0,FALSE,NA,NA,FALSE
2023,"Timor-Leste",160675,0,0,29922,0,0,FALSE,NA,"Comprehensive",TRUE
2023,"Togo",2683557,55218,65428,3567424,27690,31225,FALSE,NA,"Comprehensive",TRUE
2023,"Tonga",11541,0,0,1304,0,0,FALSE,NA,NA,FALSE
2023,"Trinidad & Tobago",3249655,687133,930509,672432,399813,414590,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
2023,"Tunisia",17560597,9036677,12021119,15367006,7218011,8360681,TRUE,"UK-Tunisia Association Agreement",NA,FALSE
2023,"Turkey",789410682,634390756,674227152,527775283,278437200,294194001,TRUE,"UK-Turkey Trade Agreement",NA,FALSE
2023,"Turkmenistan",2273,0,0,2000,0,0,FALSE,NA,NA,FALSE
2023,"Turks & Caicos Islands",32289,0,31252,18410,0,18400,FALSE,NA,NA,FALSE
2023,"U.S. Virgin Islands",252165,0,0,88005,0,0,FALSE,NA,NA,FALSE
2023,"Uganda",17320618,8552695,9648673,8464769,5576675,5744652,FALSE,NA,"Comprehensive",TRUE
2023,"Ukraine",353024999,93431853,152177404,742964196,73457547,134193418,TRUE,"UK-Ukraine Political, Free Trade and Strategic Partnership Agreement; UK-Ukraine Digital Trade Agreement",NA,FALSE
2023,"United Arab Emirates",26327447,0,0,24301451,0,0,FALSE,NA,NA,FALSE
2023,"United Kingdom",166703770,0,0,68447695,0,0,FALSE,NA,NA,FALSE
2023,"United States",1577707776,0,0,1421290367,0,0,TRUE,"UK-US Economic Prosperity Deal (partial)",NA,FALSE
2023,"Unknown",30626049,29643598,30326591,13080453,12761630,13012643,FALSE,NA,NA,FALSE
2023,"Uruguay",121837874,0,0,208401773,0,0,FALSE,NA,NA,FALSE
2023,"Uzbekistan",1411320,451676,820694,370639,148189,211645,FALSE,NA,"Enhanced",TRUE
2023,"Vatican City",6923,0,0,2493,0,0,FALSE,NA,NA,FALSE
2023,"Venezuela",2547525,0,0,546600,0,0,FALSE,NA,NA,FALSE
2023,"Vietnam",550223447,304862554,346967270,154619845,74481505,87386502,TRUE,"UK-Vietnam Free Trade Agreement; CPTPP",NA,FALSE
2023,"Yemen",846453,425182,602648,221128,106123,153869,FALSE,NA,"Comprehensive",TRUE
2023,"Zambia",1018393,491845,805253,276173,145514,205459,FALSE,NA,"Comprehensive",TRUE
2023,"Zimbabwe",7184637,4914495,6063269,4160186,3029505,3491491,TRUE,"ESA-UK Economic Partnership Agreement",NA,FALSE
2024,"Afghanistan",2199174,1406070,1855418,961802,665485,905186,FALSE,NA,"Comprehensive",TRUE
2024,"Albania",4939537,2895714,3262766,4578470,2254952,2317565,TRUE,"UK-Albania Partnership, Trade and Cooperation Agreement",NA,FALSE
2024,"Algeria",3806871,1301371,2045733,7297197,1051093,1344331,FALSE,NA,"Enhanced",TRUE
2024,"American Samoa",3560,0,0,19,0,0,FALSE,NA,NA,FALSE
2024,"Andorra",12020,0,0,4413,0,0,FALSE,NA,NA,FALSE
2024,"Angola",103362,0,98620,6058,0,4155,FALSE,NA,"Comprehensive",TRUE
2024,"Antigua & Barbuda",260295,149014,184526,146361,39000,67860,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
2024,"Argentina",766651014,0,0,1956283357,0,0,FALSE,NA,NA,FALSE
2024,"Armenia",235846,0,0,31476,0,0,FALSE,NA,NA,FALSE
2024,"Australia",471899507,351321751,390446745,308819144,228869330,248948172,TRUE,"UK-Australia Free Trade Agreement; CPTPP",NA,FALSE
2024,"Azerbaijan",258551,0,0,81370,0,0,FALSE,NA,NA,FALSE
2024,"Bahamas",628213,458780,575699,16173,11813,15314,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
2024,"Bahrain",356477,0,0,152439,0,0,FALSE,NA,NA,FALSE
2024,"Bangladesh",72995993,68645283,68830254,24492675,23065647,23185721,FALSE,NA,"Comprehensive",TRUE
2024,"Barbados",7305115,401780,2340886,1496592,160073,418671,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
2024,"Belarus",690407,0,0,3534633,0,0,FALSE,NA,NA,FALSE
2024,"Belize",44195557,43106084,43358008,66745225,66287107,66543763,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
2024,"Benin",4635811,340607,353495,1164582,330398,334848,FALSE,NA,"Comprehensive",TRUE
2024,"Bermuda",473662,0,0,47725,0,0,FALSE,NA,NA,FALSE
2024,"Bolivia",25852748,687402,879125,5656435,467860,523947,FALSE,NA,"Enhanced",TRUE
2024,"Bosnia & Herzegovina",1155573,0,0,618236,0,0,FALSE,NA,NA,FALSE
2024,"Botswana",603828,603828,603828,168613,168613,168613,TRUE,"SACUM-UK Economic Partnership Agreement",NA,FALSE
2024,"Brazil",1604233486,0,0,1926997230,0,0,FALSE,NA,NA,FALSE
2024,"British Indian Ocean Territory",57419,57419,57419,14683,14683,14683,FALSE,NA,NA,FALSE
2024,"Brunei",7165,0,0,870,0,0,FALSE,NA,NA,FALSE
2024,"Burkina Faso",8094748,3372,124410,1169302,829,34888,FALSE,NA,"Comprehensive",TRUE
2024,"Burundi",1052332,0,0,222583,0,0,FALSE,NA,"Comprehensive",TRUE
2024,"Cambodia",24026082,23375582,23720141,33212381,32827782,33154468,FALSE,NA,"Comprehensive",TRUE
2024,"Cameroon",19457244,16912695,19027563,37163988,36705390,36928984,TRUE,"UK-Cameroon Economic Partnership Agreement",NA,FALSE
2024,"Canada",636256606,147682223,171799512,1486654973,39112337,46621863,TRUE,"UK-Canada Trade Continuity Agreement; CPTPP",NA,FALSE
2024,"Cape Verde",125468,0,0,34298,0,0,FALSE,NA,"Enhanced",TRUE
2024,"Cayman Islands",172511,0,1937,56871,0,3000,FALSE,NA,NA,FALSE
2024,"Central African Republic",21457,0,17781,19830,0,19630,FALSE,NA,"Comprehensive",TRUE
2024,"Chad",1354142,0,0,903618,0,0,FALSE,NA,"Comprehensive",TRUE
2024,"Chile",453030688,376289830,410000243,237677475,198110962,213513568,TRUE,"UK-Chile Association Agreement; CPTPP",NA,FALSE
2024,"China",2266131096,0,0,805653909,0,0,FALSE,NA,NA,FALSE
2024,"Christmas Island",1948,0,0,302,0,0,FALSE,NA,NA,FALSE
2024,"Cocos (Keeling) Islands",63550,0,0,4444,0,0,FALSE,NA,NA,FALSE
2024,"Colombia",341342320,265336900,283122272,282796012,261875845,267208663,TRUE,"UK-Andean Countries Trade Agreement",NA,FALSE
2024,"Comoros",14734,954,14734,1225,75,1225,FALSE,NA,"Comprehensive",TRUE
2024,"Congo - Brazzaville",110691,0,0,28395,0,0,FALSE,NA,"Enhanced",TRUE
2024,"Congo - Kinshasa",234277,0,0,53100,0,0,FALSE,NA,"Comprehensive",TRUE
2024,"Costa Rica",245832002,209398745,231335983,370262359,325562621,348376193,TRUE,"UK-Central America Association Agreement",NA,FALSE
2024,"Cuba",15305373,0,0,1140816,0,0,FALSE,NA,NA,FALSE
2024,"Côte d’Ivoire",367109884,192879980,197076287,134061935,64626715,65125848,TRUE,"UK-Cote d'Ivoire Stepping Stone EPA",NA,FALSE
2024,"Djibouti",946628,70483,83983,583840,44000,50820,FALSE,NA,"Comprehensive",TRUE
2024,"Dominica",78955,48834,53378,30831,16215,17895,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
2024,"Dominican Republic",81805671,58289528,61736078,88895704,71258037,72238192,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
2024,"Ecuador",285833756,252578219,277635009,143258992,137127627,141691189,TRUE,"UK-Andean Countries Trade Agreement",NA,FALSE
2024,"Egypt",368409552,297795322,330455752,331373647,289341979,309192435,TRUE,"UK-Egypt Association Agreement",NA,FALSE
2024,"El Salvador",12435991,5123785,5141487,21021440,8206599,8210162,TRUE,"UK-Central America Association Agreement",NA,FALSE
2024,"Eritrea",39607,0,0,34819,0,0,FALSE,NA,"Comprehensive",TRUE
2024,"Eswatini",23115766,22620165,22754637,37098832,36512508,36565376,TRUE,"SACUM-UK Economic Partnership Agreement",NA,FALSE
2024,"Ethiopia",43473947,14465446,24779042,10909801,3924623,5436022,FALSE,NA,"Comprehensive",TRUE
2024,"European Union",42280534894,36626022018,37355399733,22327626321,16940920625,17156289124,TRUE,"UK-EU Trade and Cooperation Agreement",NA,FALSE
2024,"Falkland Islands",1533101,1377783,1533101,635769,606648,635769,FALSE,NA,NA,FALSE
2024,"Faroe Islands",243085784,163282561,237672366,65382361,22020337,63957283,TRUE,"UK-Faroe Islands Free Trade Agreement",NA,FALSE
2024,"Fiji",12757737,9358455,9404895,23782508,20025919,20032233,TRUE,"UK-Pacific Economic Partnership Agreement",NA,FALSE
2024,"French Polynesia",49990,0,0,770,0,0,FALSE,NA,NA,FALSE
2024,"Gabon",658894,0,0,722449,0,0,FALSE,NA,NA,FALSE
2024,"Gambia",2507155,2023620,2042031,1175179,730194,731562,FALSE,NA,"Comprehensive",TRUE
2024,"Georgia",2518121,1439465,1951097,1241420,471067,604811,TRUE,"UK-Georgia Strategic Partnership and Cooperation Agreement",NA,FALSE
2024,"Ghana",173925829,101829739,116425415,80712111,59941827,61485681,TRUE,"UK-Ghana Interim Trade Partnership Agreement",NA,FALSE
2024,"Greenland",69285300,0,0,10019148,0,0,FALSE,NA,NA,FALSE
2024,"Grenada",217784,12959,12959,22264,996,996,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
2024,"Guatemala",125556921,64803737,75011400,173081329,83878119,92308637,TRUE,"UK-Central America Association Agreement",NA,FALSE
2024,"Guinea",76305,0,73709,34521,0,34021,FALSE,NA,"Comprehensive",TRUE
2024,"Guyana",11367282,6948657,9622420,18736918,14653847,18394118,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
2024,"Haiti",223547,0,0,20330,0,0,FALSE,NA,"Comprehensive",TRUE
2024,"Honduras",129215331,91599026,93051474,58607347,38277371,39236387,TRUE,"UK-Central America Association Agreement",NA,FALSE
2024,"Hong Kong SAR China",35890239,0,0,13532483,0,0,FALSE,NA,NA,FALSE
2024,"Iceland",389885227,278532393,280485122,105086135,49597265,49844208,TRUE,"UK-Iceland-Liechtenstein-Norway FTA",NA,FALSE
2024,"India",855245802,270054752,302267782,498105517,112740742,122782325,TRUE,"UK-India Comprehensive Economic and Trade Agreement (CETA)","Standard",TRUE
2024,"Indonesia",254645196,64798735,90100911,443510379,22294535,28143538,FALSE,NA,"Standard",TRUE
2024,"Iran",16060984,0,0,7008322,0,0,FALSE,NA,NA,FALSE
2024,"Iraq",2715308,0,0,6861030,0,0,FALSE,NA,NA,FALSE
2024,"Israel",188685276,152446896,161026773,104893262,92735804,94905502,TRUE,"UK-Israel Trade and Partnership Agreement",NA,FALSE
2024,"Jamaica",53151192,19562886,38056451,20433199,11380269,15929929,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
2024,"Japan",97691156,50905296,65126374,20638947,14736407,18239192,TRUE,"UK-Japan Comprehensive Economic Partnership Agreement; CPTPP",NA,FALSE
2024,"Jordan",17944130,17066472,17189274,4450451,4084829,4143175,TRUE,"UK-Jordan Association Agreement",NA,FALSE
2024,"Kazakhstan",9938227,0,0,14715488,0,0,FALSE,NA,NA,FALSE
2024,"Kenya",411246151,254102071,277408479,133265847,62861907,67068239,TRUE,"UK-Kenya Economic Partnership Agreement",NA,FALSE
2024,"Kosovo",2498205,1695714,2075141,1822462,1522075,1602434,TRUE,"UK-Kosovo Partnership, Trade and Cooperation Agreement",NA,FALSE
2024,"Kuwait",1805878,0,0,2264905,0,0,FALSE,NA,NA,FALSE
2024,"Kyrgyzstan",1371166,1086804,1094832,1615772,1355407,1355996,FALSE,NA,"Enhanced",TRUE
2024,"Laos",828069,748061,749765,885481,848000,849001,FALSE,NA,"Comprehensive",TRUE
2024,"Lebanon",17024087,10363388,10970998,5762436,3906440,4120374,TRUE,"UK-Lebanon Association Agreement",NA,FALSE
2024,"Lesotho",215931,191819,191819,531750,528000,528000,TRUE,"SACUM-UK Economic Partnership Agreement","Comprehensive",TRUE
2024,"Liberia",3920662,0,0,3944829,0,0,FALSE,NA,"Comprehensive",TRUE
2024,"Libya",36730,0,0,138194,0,0,FALSE,NA,NA,FALSE
2024,"Liechtenstein",6764816,0,262122,2990257,0,185185,TRUE,"UK-Iceland-Liechtenstein-Norway FTA; UK-Switzerland-Liechtenstein Trade Agreement",NA,FALSE
2024,"Macao SAR China",261190,0,0,16973,0,0,FALSE,NA,NA,FALSE
2024,"Madagascar",11739912,5940658,7858325,2091135,543548,602892,TRUE,"ESA-UK Economic Partnership Agreement","Comprehensive",TRUE
2024,"Malawi",14835331,262279,357909,8803918,104697,120452,FALSE,NA,"Comprehensive",TRUE
2024,"Malaysia",180912800,0,0,155456999,0,0,TRUE,"CPTPP",NA,FALSE
2024,"Maldives",17002320,0,0,4015255,0,0,FALSE,NA,NA,FALSE
2024,"Mali",550794,62659,103183,393467,57200,84850,FALSE,NA,"Comprehensive",TRUE
2024,"Marshall Islands",49020,0,0,2205,0,0,FALSE,NA,NA,FALSE
2024,"Mauritania",2641155,1650806,2630693,2770965,2069834,2765147,FALSE,NA,"Comprehensive",TRUE
2024,"Mauritius",97205813,83677687,83821104,44053917,43586819,43616479,TRUE,"ESA-UK Economic Partnership Agreement",NA,FALSE
2024,"Mexico",185265803,68041505,77232856,44546344,22037824,24329587,TRUE,"UK-Mexico Trade Continuity Agreement; CPTPP",NA,FALSE
2024,"Micronesia (Federated States of)",19185,16900,19185,368,340,368,FALSE,NA,NA,FALSE
2024,"Moldova",15711861,9064279,9453113,28892455,7760698,7888540,TRUE,"UK-Moldova Strategic Partnership, Trade and Cooperation Agreement",NA,FALSE
2024,"Mongolia",80238,0,0,27817,0,0,FALSE,NA,"Enhanced",TRUE
2024,"Montenegro",531086,0,0,30804,0,0,FALSE,NA,NA,FALSE
2024,"Montserrat",39637,39637,39637,8075,8075,8075,FALSE,NA,NA,FALSE
2024,"Morocco",689585976,619291579,658801856,336296168,297005493,316814731,TRUE,"UK-Morocco Association Agreement",NA,FALSE
2024,"Mozambique",12083805,1037588,1335117,38500085,625263,780479,TRUE,"SACUM-UK Economic Partnership Agreement","Comprehensive",TRUE
2024,"Myanmar (Burma)",62515845,54727531,55754645,75001588,68124580,68990128,FALSE,NA,"Comprehensive",TRUE
2024,"Nauru",10594,0,0,827,0,0,FALSE,NA,NA,FALSE
